0102132434fffft	0102033444ttttf	1 0 2 0 3 1 7 2 5 8 6 9 7 10 7 11 4 12 5 12 6 13 7 14 4 16 5 16 6 15 17 0 15 0 18 1 7 2 ffffttttttttttttttt
0102324101fffft	0112233444ttttf	1 0 2 0 2 3 1 6 16 6 7 10 5 10 7 9 8 13 11 6 11 14 8 14 12 4 15 6 15 17 12 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324111fffft	0112233444ttttf	1 0 2 0 2 3 1 6 16 6 7 10 5 11 7 9 8 13 11 6 11 14 8 14 12 4 15 6 15 17 12 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324121fffft	0112233444ttttf	1 0 2 0 2 3 1 7 16 7 6 10 6 9 5 8 8 13 11 7 11 14 8 14 12 4 15 7 15 17 12 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324131fffft	0112233444ttttf	1 0 2 0 2 3 1 7 16 7 6 10 6 9 5 9 8 13 11 7 11 14 8 14 12 4 15 7 15 17 12 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324141fffft	0112233444ttttf	1 0 2 0 2 3 1 7 16 7 6 10 6 9 5 7 8 13 11 7 11 14 8 14 12 4 15 7 15 17 12 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324201fffft	0112233444ttttf	1 0 2 0 2 3 2 6 18 6 7 11 5 11 7 9 8 10 8 6 13 6 12 14 8 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324203fffft	0112233444ttttf	1 0 2 0 2 3 2 9 18 9 5 7 5 9 8 9 8 10 6 11 13 9 12 14 8 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324211fffft	0112233444ttttf	1 0 2 0 2 3 2 6 18 6 7 11 5 12 7 9 8 10 8 6 13 6 12 14 8 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324221fffft	0112233444ttttf	1 0 2 0 2 3 2 8 18 8 6 11 6 7 9 8 5 9 9 10 13 8 12 14 9 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324231fffft	0112233444ttttf	1 0 2 0 2 3 2 8 18 8 6 11 6 7 9 8 5 7 9 10 13 8 12 14 9 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0102324241fffft	0112233444ttttf	1 0 2 0 2 3 2 8 18 8 6 11 6 7 9 8 5 8 9 10 13 8 12 14 9 14 13 4 15 17 13 17 18 0 16 0 18 3 ffffttttttttttttttt
0121034103fffft	0112233444ttttf	1 0 1 2 3 0 1 6 16 6 5 11 7 9 5 6 10 6 10 13 10 15 8 13 14 6 14 17 14 18 12 17 16 2 16 0 4 0 ffffttttttttttttttt
