0102132434fffft	01020333ffft	1 0 2 0 3 1 7 2 5 8 6 9 7 10 7 11 4 12 5 12 6 13 7 14 4 16 5 16 6 15 17 16 15 16 18 15 7 17 ffffffffffffffftttt
0102324101fffft	01122333ffft	1 0 2 0 2 3 1 6 4 8 4 9 5 9 7 11 10 6 10 12 7 12 13 6 13 16 14 16 14 18 17 16 15 16 17 18 15 6 ffffffffffffffftttt
0102324111fffft	01122333ffft	1 0 2 0 2 3 1 6 4 8 4 9 5 10 7 11 10 6 10 12 7 12 13 6 13 16 14 16 14 18 17 16 15 16 17 18 15 6 ffffffffffffffftttt
0102324121fffft	01122333ffft	1 0 2 0 2 3 1 5 4 8 6 7 4 9 7 11 10 5 10 12 7 12 13 5 13 16 14 16 14 18 17 16 15 16 17 18 15 5 ffffffffffffffftttt
0102324131fffft	01122333ffft	1 0 2 0 2 3 1 5 4 8 6 8 4 9 7 11 10 5 10 12 7 12 13 5 13 16 14 16 14 18 17 16 15 16 17 18 15 5 ffffffffffffffftttt
0102324141fffft	01122333ffft	1 0 2 0 2 3 1 5 4 8 6 5 4 9 7 11 10 5 10 12 7 12 13 5 13 16 14 16 14 18 17 16 15 16 17 18 15 5 ffffffffffffffftttt
0102324201fffft	01122333ffft	1 0 2 0 2 4 3 5 2 7 8 7 3 9 6 9 8 11 10 12 8 12 14 7 13 16 14 16 14 18 17 16 15 16 17 18 17 7 ffffffffffffffftttt
0102324203fffft	01122333ffft	1 0 2 0 2 4 3 6 2 7 3 7 8 7 5 9 8 11 10 12 8 12 14 7 13 16 14 16 14 18 17 16 15 16 17 18 17 7 ffffffffffffffftttt
0102324211fffft	01122333ffft	1 0 2 0 2 4 3 5 2 7 8 7 3 9 6 10 8 11 10 12 8 12 14 7 13 16 14 16 14 18 17 16 15 16 17 18 17 7 ffffffffffffffftttt
0102324221fffft	01122333ffft	1 0 2 0 2 3 2 5 4 6 7 8 8 5 4 9 8 11 10 12 8 12 14 5 13 16 14 16 14 18 17 16 15 16 17 18 17 5 ffffffffffffffftttt
0102324231fffft	01122333ffft	1 0 2 0 2 3 2 5 4 6 7 6 8 5 4 9 8 11 10 12 8 12 14 5 13 16 14 16 14 18 17 16 15 16 17 18 17 5 ffffffffffffffftttt
0102324241fffft	01122333ffft	1 0 2 0 2 3 2 5 4 6 7 5 8 5 4 9 8 11 10 12 8 12 14 5 13 16 14 16 14 18 17 16 15 16 17 18 17 5 ffffffffffffffftttt
0121034103fffft	01122333ffft	1 0 1 2 3 0 1 6 5 6 5 10 4 8 9 6 9 12 9 14 7 12 13 6 13 16 13 17 11 16 15 17 15 16 18 16 15 6 ffffffffffffffftttt
