01021323tfff	0102342144ffftt	0 3 0 4 1 5 0 7 1 8 2 8 0 12 9 13 10 13 0 4 6 5 0 12 11 13 12 13 fffffffffttttt
01210333tfff	0102132434fffft	0 3 0 5 2 5 1 6 0 7 2 7 4 9 5 10 0 10 8 12 7 13 0 13 11 12 10 13 fffffffffffftt
01210333tfff	0102132434ffftt	0 3 0 5 2 5 1 6 0 7 2 7 4 9 5 10 0 10 8 12 7 13 0 13 11 12 10 13 fffffffffttttt
01210333tfff	0102132434ffttt	0 3 0 5 2 5 1 6 0 7 2 7 4 10 5 12 0 12 0 13 8 11 9 11 7 13 12 13 fffffftttttttt
01210333tfff	0102132434ftttt	0 3 0 5 2 5 1 8 0 11 2 11 0 12 0 13 4 9 6 10 7 10 5 12 11 13 12 13 fffttttttttttt
01210333tfff	0102132444fffft	0 3 0 5 2 5 1 6 0 8 2 8 4 9 0 10 5 10 7 11 8 12 13 11 12 12 0 12 fffffffffffttt
01210333tfff	0102132444ffftt	0 3 0 5 2 5 1 6 0 7 2 7 4 9 5 10 0 10 8 12 7 13 0 13 11 12 13 13 fffffffffttttt
01210333tfff	0102132444ffttt	0 3 0 5 2 5 1 6 0 7 2 7 4 10 5 12 0 12 0 13 8 11 9 11 7 13 13 13 fffffftttttttt
01210333tfff	0102132444ftttt	0 3 0 5 2 5 1 8 0 11 2 11 0 12 0 13 4 9 6 10 7 10 5 12 11 13 13 13 fffttttttttttt
01210333tfff	0102133444fffft	0 3 0 5 2 5 1 6 0 7 2 7 4 8 5 9 10 11 9 12 0 12 13 11 12 12 0 12 fffffffffffttt
01210333tfff	0102233444fffft	0 3 0 4 2 4 1 5 2 6 7 8 6 9 0 9 10 11 9 12 0 12 13 11 12 12 0 12 fffffffffffttt
