0102341144tffff	010212fft	0 4 2 4 0 5 3 6 0 9 1 10 3 10 2 8 0 9 7 10 6 10 ffffffffttt
0121314124ttfff	011222fft	0 1 2 1 3 1 5 1 6 1 2 7 7 1 4 10 9 1 10 1 8 10 ffffffffttt
0121314124ttfff	012111fft	0 1 2 1 3 1 4 1 2 7 9 1 10 1 8 7 6 1 7 1 5 7 ffffffffttt
0121314124ttfff	012111ftf	0 1 2 1 3 1 4 1 2 10 9 1 10 1 8 10 6 1 7 1 5 10 ffffffffttt
0121314142ttfff	011222fft	0 1 2 1 3 1 4 1 4 5 6 1 7 1 7 8 9 1 10 1 10 8 ffffffffttt
0121314243ttfff	011222fft	0 1 2 1 3 1 4 5 4 6 6 1 7 8 7 9 9 1 10 8 10 9 ffffffffttt
0121314244ttfff	011222fft	0 1 2 1 3 1 4 5 4 7 6 1 7 8 7 10 9 1 10 8 10 10 ffffffffttt
0121314424ttfff	011222fft	0 1 2 1 3 1 4 7 2 7 6 1 7 10 5 10 9 1 10 10 8 10 ffffffffttt
0121314424ttfff	012111fft	0 1 2 1 3 1 4 7 2 7 9 1 10 7 8 7 6 1 7 7 5 7 ffffffffttt
0121314424ttfff	012111ftf	0 1 2 1 3 1 4 10 2 10 9 1 10 10 8 10 6 1 7 10 5 10 ffffffffttt
0121344124ttfff	011222fft	0 1 3 1 4 1 2 7 3 7 7 1 5 9 6 9 10 9 8 9 9 1 ffffffffttt
0121344124ttfff	012111fft	0 1 3 1 4 1 2 6 3 6 10 6 8 6 9 1 7 6 5 6 6 1 ffffffffttt
0121344124ttfff	012111ftf	0 1 3 1 4 1 2 9 3 9 10 9 8 9 9 1 7 9 5 9 6 1 ffffffffttt
