01021323tfff	0102342144tttff	0 8 11 10 0 3 2 4 3 4 0 9 0 9 6 10 0 12 6 13 7 13 0 3 5 4 1 4 tffffftttttttt
01210333tfff	0102132434tffff	0 11 0 8 13 8 0 9 0 10 1 6 3 7 4 7 2 9 8 10 9 10 12 5 0 2 13 2 tffffffffffftt
01210333tfff	0102132434ttfff	0 11 13 6 0 6 0 7 2 5 3 5 1 7 6 7 12 4 0 13 10 13 9 8 0 1 10 1 tffffffffttttt
01210333tfff	0102132434tttff	0 8 12 4 0 4 2 3 1 4 13 3 0 10 7 10 6 11 0 12 7 12 9 5 10 1 0 1 tffffftttttttt
01210333tfff	0102132434ttttf	0 5 12 1 13 2 0 7 4 7 3 8 0 9 4 9 6 11 7 12 0 12 10 2 9 1 0 1 tffttttttttttt
01210333tfff	0102132444tffff	0 11 0 8 13 8 0 9 0 10 1 6 3 7 4 7 2 9 8 10 10 10 12 5 0 2 13 2 tffffffffffftt
01210333tfff	0102132444ttfff	0 11 13 6 0 6 0 7 2 5 3 5 1 7 7 7 12 4 0 13 10 13 9 8 0 1 10 1 tffffffffttttt
01210333tfff	0102132444tttff	0 8 12 4 0 4 2 3 4 4 13 3 0 10 7 10 6 11 0 12 7 12 9 5 10 1 0 1 tffffftttttttt
01210333tfff	0102132444ttttf	0 6 1 1 0 1 2 3 0 8 5 8 4 9 0 11 5 11 7 12 0 13 8 13 10 3 11 1 tffftttttttttt
01210333tfff	0102133444ttttf	0 6 1 1 0 1 2 3 0 8 5 8 4 9 0 10 5 10 7 11 8 12 13 3 12 1 0 1 tffftttttttttt
01210333tfff	0102233444ttttf	0 6 1 1 0 1 2 3 0 7 5 7 4 8 5 9 10 11 9 12 0 12 13 3 12 1 0 1 tffftttttttttt
