0102341144tffff	010212ttf	0 7 10 2 9 2 0 1 5 7 0 8 6 9 0 1 4 2 6 2 5 3 tfffttttttt
0121314124ttfff	011222ttf	0 4 2 4 3 2 1 4 5 4 6 4 8 4 9 4 5 10 10 4 7 2 tfffttttttt
0121314124ttfff	012111tft	0 4 10 4 8 2 9 4 5 4 6 4 7 4 5 2 1 4 2 4 3 2 tfffttttttt
0121314124ttfff	012111ttf	0 4 10 4 8 10 9 4 5 4 6 4 7 4 5 10 1 4 2 4 3 10 tfffttttttt
0121314142ttfff	011222ttf	0 4 2 4 2 3 1 4 5 4 6 4 7 4 7 8 9 4 10 4 10 3 tfffttttttt
0121314243ttfff	011222ttf	0 4 2 3 2 1 1 4 5 4 6 4 7 8 7 9 9 4 10 3 10 1 tfffttttttt
0121314244ttfff	011222ttf	0 4 2 3 2 2 1 4 5 4 6 4 7 8 7 10 9 4 10 3 10 2 tfffttttttt
0121314424ttfff	011222ttf	0 4 2 2 3 2 1 4 5 4 6 4 7 10 5 10 9 4 10 2 8 2 tfffttttttt
0121314424ttfff	012111tft	0 4 10 2 8 2 9 4 5 4 6 4 7 2 5 2 1 4 2 2 3 2 tfffttttttt
0121314424ttfff	012111ttf	0 4 10 10 8 10 9 4 5 4 6 4 7 10 5 10 1 4 2 10 3 10 tfffttttttt
0121344124ttfff	011222ttf	0 4 3 1 1 4 2 1 6 4 7 4 5 10 6 10 10 4 8 1 9 1 tfffttttttt
0121344124ttfff	012111tft	0 4 8 1 9 4 10 1 6 4 7 4 5 1 6 1 2 1 3 1 1 4 tfffttttttt
0121344124ttfff	012111ttf	0 4 8 9 9 4 10 9 6 4 7 4 5 9 6 9 2 9 3 9 1 4 tfffttttttt
